uts,value,time
1605099274,84,2020/11/11 12:54
1605099276,84,2020/11/11 12:54
1605099279,84,2020/11/11 12:54
1605099280,83,2020/11/11 12:54
1605099283,83,2020/11/11 12:54
1605099285,82,2020/11/11 12:54
1605099288,81,2020/11/11 12:54
1605099291,81,2020/11/11 12:54
1605099294,81,2020/11/11 12:54
1605099297,81,2020/11/11 12:54
1605099300,81,2020/11/11 12:55
1605099303,81,2020/11/11 12:55
1605099304,81,2020/11/11 12:55
1605099307,80,2020/11/11 12:55
1605099309,80,2020/11/11 12:55
1605099310,79,2020/11/11 12:55
1605099312,78,2020/11/11 12:55
1605099314,77,2020/11/11 12:55
1605099317,77,2020/11/11 12:55
1605099319,78,2020/11/11 12:55
1605099322,79,2020/11/11 12:55
1605099324,78,2020/11/11 12:55
1605099327,77,2020/11/11 12:55
1605099330,78,2020/11/11 12:55
1605099331,78,2020/11/11 12:55
1605099334,78,2020/11/11 12:55
1605099337,78,2020/11/11 12:55
1605099340,78,2020/11/11 12:55
1605099343,78,2020/11/11 12:55
1605099346,78,2020/11/11 12:55
1605099348,79,2020/11/11 12:55
1605099351,79,2020/11/11 12:55
1605099354,79,2020/11/11 12:55
1605099355,78,2020/11/11 12:55
1605099358,78,2020/11/11 12:55
