uts,value,time
1605099110,75,2020/11/11 12:51
1605099111,75,2020/11/11 12:51
1605099114,76,2020/11/11 12:51
1605099117,76,2020/11/11 12:51
1605099120,76,2020/11/11 12:52
1605099122,75,2020/11/11 12:52
1605099125,75,2020/11/11 12:52
1605099128,75,2020/11/11 12:52
1605099130,74,2020/11/11 12:52
1605099132,73,2020/11/11 12:52
1605099135,74,2020/11/11 12:52
1605099138,75,2020/11/11 12:52
1605099140,76,2020/11/11 12:52
1605099143,76,2020/11/11 12:52
1605099146,76,2020/11/11 12:52
1605099148,77,2020/11/11 12:52
1605099151,77,2020/11/11 12:52
1605099154,77,2020/11/11 12:52
1605099157,76,2020/11/11 12:52
1605099160,75,2020/11/11 12:52
1605099163,75,2020/11/11 12:52
1605099166,75,2020/11/11 12:52
1605099168,76,2020/11/11 12:52
1605099169,76,2020/11/11 12:52
1605099172,76,2020/11/11 12:52
1605099175,76,2020/11/11 12:52
1605099178,76,2020/11/11 12:52
1605099181,76,2020/11/11 12:53
1605099182,76,2020/11/11 12:53
1605099185,76,2020/11/11 12:53
1605099188,76,2020/11/11 12:53
1605099191,76,2020/11/11 12:53
1605099194,75,2020/11/11 12:53
1605099197,75,2020/11/11 12:53
1605099200,75,2020/11/11 12:53
1605099201,74,2020/11/11 12:53
1605099204,72,2020/11/11 12:53
1605099205,71,2020/11/11 12:53
1605099206,70,2020/11/11 12:53
1605099207,69,2020/11/11 12:53
1605099209,68,2020/11/11 12:53
1605099211,68,2020/11/11 12:53
1605099214,68,2020/11/11 12:53
1605099217,68,2020/11/11 12:53
1605099219,69,2020/11/11 12:53
1605099222,70,2020/11/11 12:53
1605099223,71,2020/11/11 12:53
1605099224,72,2020/11/11 12:53
1605099225,74,2020/11/11 12:53
1605099226,75,2020/11/11 12:53
1605099227,75,2020/11/11 12:53
1605099230,75,2020/11/11 12:53
1605099231,76,2020/11/11 12:53
1605099234,76,2020/11/11 12:53
1605099236,74,2020/11/11 12:53
1605099237,73,2020/11/11 12:53
1605099238,72,2020/11/11 12:53
1605099239,72,2020/11/11 12:53
1605099242,72,2020/11/11 12:54
1605099245,72,2020/11/11 12:54
1605099246,73,2020/11/11 12:54
1605099249,73,2020/11/11 12:54
1605099252,73,2020/11/11 12:54
